cik,coname,form,file_date,file_name,hlink,rdate,secadate,secatime,accession,type,document,file_size,sequence,description
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a019.jpg,12887.0,29.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a020.jpg,12812.0,30.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a021.jpg,20257.0,31.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a022.jpg,7603.0,32.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a023.jpg,22831.0,33.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a024.jpg,23496.0,34.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a026.jpg,34832.0,35.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a027.jpg,61706.0,36.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a029.jpg,70585.0,37.0,GRAPHIC
1000184,SAP SE,20-F,2020-02-27,edgar/data/1000184/0001104659-20-025681.txt,https://www.sec.gov/Archives/edgar/data/1000184/000110465920025681/0001104659-20-025681-index.html,2019-12-31,2020-02-27,07:04:12,0001104659-20-025681,GRAPHIC,sap-20191231x20f6ea59a030.jpg,17786.0,38.0,GRAPHIC
